scope_type:  CONSTRUCTION
scope_id:    con_2e2dcdf2591b0819

resource_code     determinant  name                                                                                                                                                                                                                                                     unit      estimate_price  total_consumption  estimate_amount       estimates_count
С1017-0602-0001   19           Ленты гидроизоляционные, паропроницаемые бутилкаучуковые, из нетканого материала мембранного типа, с липким покрытием по краям с внутренней стороны и антиадгезионным покрытием, цвет бежевый, ширина 80 мм                                              м         42.7600         14228.360000       608404.6736000000     1
С291-1801-007     37           Компрессоры винтовые передвижные с двигателем внутреннего сгорания, давление до 0,7 МПа (7 атм), производительность до 5,4 м3/мин                                                                                                                        маш.-ч    796.3200        75.857782          60407.0689622400      1
С1194-0203-0028   30           Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на ниппельном соединении, длина корпуса 900 мм, внутренний диаметр 315 мм                                                                            шт        5982.5500       1.000000           5982.5500000000       1
С1083-0402-0095   20           Прокат стальной горячекатаный круглый, марки стали Ст3сп, Ст3пс, диаметр 14-50 мм                                                                                                                                                                        т         90755.0000      0.656100           59544.3555000000      1
С1192-0301-0189   19           Решетка жалюзийная металлическая, площадь проема от 0,21 до 0,3 м2                                                                                                                                                                                       шт        2972.7100       2.000000           5945.4200000000       1
С401-100-30       50           Средний разряд работы 3,0                                                                                                                                                                                                                                чел.-ч    1511.7500       39082.776742       59083387.7397185000   3
С1111-0301-0094   19           Бруски обрезные сухие пропитанные, длина 1-3 м, ширина 40-75 мм, толщина 22-32 мм, сорт I                                                                                                                                                                м3        50656.7300      11.619600          588610.9399080000     1
С1204-0305-0009   13           Розетки штепсельные для открытой проводки с заземляющими контактами и защитными шторками, марка РА 10/16-508, цвет белый                                                                                                                                 100 шт    2930.4000       2.000000           5860.8000000000       1
С401-100-28       50           Средний разряд работы 2,8                                                                                                                                                                                                                                чел.-ч    1215.8900       48.100596          58485.0336704400      1
С1072-0304-0001   31           Конструкции металлические каркасов, основных несущих зданий производственного и непроизводственного назначения                                                                                                                                           т         197825.0000     29.509900          5837795.9675000000    2
С401-100-35       50           Средний разряд работы 3,5                                                                                                                                                                                                                                чел.-ч    1314.6100       443.767800         583381.5875580000     1
С1017-1514-0044   19           Шурупы самонарезающие стальные оксидированные с потайной головкой и крестообразным шлицем, остроконечные, диаметр 3,5 мм, длина 25 мм                                                                                                                    100 шт    37.0500         155.124003         5747.3443111500       1
С1113-0315-1012   19           Фиксаторы защитного слоя арматуры пластиковые, форма звездочка, толщина защитного слоя бетона 25 мм                                                                                                                                                      100 шт    169.3400        3372.681852        571129.9448176800     2
С1017-0604-0007   19           Ленты бумажные для создания искусственных трещин между каркасными конструкциями и примыкающими поверхностями, с липким слоем с одной стороны и антиадгезионным покрытием с другой, цвет белый, ширина 65 мм                                              100 м     3488.3400       16.308414          56889.2928927600      1
С1122-0302-0002   19           Вата минеральная                                                                                                                                                                                                                                         м3        7123.6200       7.882400           56151.2222880000      1
С1017-1506-0121   19           Гвозди стальные строительные, диаметр 1,6 мм, длина 50 мм                                                                                                                                                                                                т         110644.8000     0.050725           5612.4574800000       1
С1017-1514-0063   19           Шурупы самонарезающие стальные с потайной головкой и крестообразным шлицем, наконечник сверло, диаметр 4,8 мм, длина 80 мм                                                                                                                               т         462500.0000     0.012124           5607.3500000000       1
С1243-0515-0102   23           Тройник полипропиленовый для систем водоотведения, диаметр 110 мм                                                                                                                                                                                        шт        186.6800        3.000000           560.0400000000        1
С1043-0209-0102   19           Смеси сухие водостойкие для затирки межплиточных швов шириной 1-6 мм (различная цветовая гамма)                                                                                                                                                          т         99146.2400      0.560213           55543.0125491200      1
С1017-0720-0002   19           Тальк молотый, сорт I                                                                                                                                                                                                                                    т         185188.3300     0.029964           5548.9831201200       1
С401-100-42       50           Средний разряд работы 4,2                                                                                                                                                                                                                                чел.-ч    1434.1200       385.470000         552810.2364000000     1
